"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Edat_any_a_any","Nombre"
2020,3,"Sants-Montjuïc",16,"la Bordeta","Home","15 anys",87
2020,3,"Sants-Montjuïc",17,"Sants - Badal","Home","15 anys",107
2020,3,"Sants-Montjuïc",18,"Sants","Home","15 anys",149
2020,4,"Les Corts",19,"les Corts","Home","15 anys",171
2020,4,"Les Corts",20,"la Maternitat i Sant Ramon","Home","15 anys",95
2020,4,"Les Corts",21,"Pedralbes","Home","15 anys",71
2020,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Home","15 anys",28
2020,5,"Sarrià-Sant Gervasi",23,"Sarrià","Home","15 anys",167
2020,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Home","15 anys",128
2020,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Home","15 anys",154
2020,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Home","15 anys",271
2020,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Home","15 anys",137
2020,6,"Gràcia",28,"Vallcarca i els Penitents","Home","15 anys",92
2020,6,"Gràcia",29,"el Coll","Home","15 anys",24
2020,6,"Gràcia",30,"la Salut","Home","15 anys",78
2020,6,"Gràcia",31,"la Vila de Gràcia","Home","15 anys",174
2020,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Home","15 anys",127
2020,7,"Horta-Guinardó",33,"el Baix Guinardó","Home","15 anys",97
2020,7,"Horta-Guinardó",34,"Can Baró","Home","15 anys",42
2020,7,"Horta-Guinardó",35,"el Guinardó","Home","15 anys",151
2020,7,"Horta-Guinardó",36,"la Font d'en Fargues","Home","15 anys",65
2020,7,"Horta-Guinardó",37,"el Carmel","Home","15 anys",149
2020,7,"Horta-Guinardó",38,"la Teixonera","Home","15 anys",57
2020,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Home","15 anys",52
2020,7,"Horta-Guinardó",40,"Montbau","Home","15 anys",18
2020,7,"Horta-Guinardó",41,"la Vall d'Hebron","Home","15 anys",18
2020,7,"Horta-Guinardó",42,"la Clota","Home","15 anys",4
2020,7,"Horta-Guinardó",43,"Horta","Home","15 anys",165
2020,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Home","15 anys",120
2020,8,"Nou Barris",45,"Porta","Home","15 anys",95
2020,8,"Nou Barris",46,"el Turó de la Peira","Home","15 anys",84
2020,8,"Nou Barris",47,"Can Peguera","Home","15 anys",16
2020,8,"Nou Barris",48,"la Guineueta","Home","15 anys",75
2020,8,"Nou Barris",49,"Canyelles","Home","15 anys",27
2020,8,"Nou Barris",50,"les Roquetes","Home","15 anys",88
2020,8,"Nou Barris",51,"Verdun","Home","15 anys",67
2020,8,"Nou Barris",52,"la Prosperitat","Home","15 anys",118
2020,8,"Nou Barris",53,"la Trinitat Nova","Home","15 anys",35
2020,8,"Nou Barris",54,"Torre Baró","Home","15 anys",21
2020,8,"Nou Barris",55,"Ciutat Meridiana","Home","15 anys",51
2020,8,"Nou Barris",56,"Vallbona","Home","15 anys",7
2020,9,"Sant Andreu",57,"la Trinitat Vella","Home","15 anys",57
2020,9,"Sant Andreu",58,"Baró de Viver","Home","15 anys",12
2020,9,"Sant Andreu",59,"el Bon Pastor","Home","15 anys",76
